Date,Open,High,Low,Close,Adj Close,Volume
2021-04-23,307.160004,310.359985,300.429993,306.179993,306.179993,438700
2021-04-26,307.959991,322.119995,305.369995,321.230011,321.230011,502200
2021-04-27,322.369995,323.290009,316.130005,318.010010,318.010010,303400
2021-04-28,311.489990,319.809998,310.010010,316.399994,316.399994,261800
2021-04-29,317.450012,317.450012,297.230011,300.420013,300.420013,632900
2021-04-30,297.079987,306.209991,294.869995,297.459991,297.459991,399800
2021-05-03,298.500000,299.540009,285.950012,287.529999,287.529999,538000
2021-05-04,283.752991,285.220001,269.179993,280.359985,280.359985,645200
2021-05-05,286.459991,288.500000,271.010010,271.989990,271.989990,524500
2021-05-06,268.140015,270.980011,251.139999,256.619995,256.619995,1209500
2021-05-07,263.220001,267.640015,257.795013,260.320007,260.320007,964200
2021-05-10,259.549988,259.670013,249.470001,254.389999,254.389999,726500
2021-05-11,243.910004,265.665009,238.080002,260.309998,260.309998,963500
2021-05-12,256.929993,259.519989,243.880005,251.850006,251.850006,994600
2021-05-13,251.936005,260.750000,238.009995,244.740005,244.740005,850900
2021-05-14,253.695007,262.670013,249.279999,261.190002,261.190002,1005600
2021-05-17,259.700012,265.652008,257.269989,264.179993,264.179993,535400
2021-05-18,265.750000,274.015015,262.480011,270.019989,270.019989,798500
2021-05-19,263.079987,275.920013,261.029999,273.059998,273.059998,844300
2021-05-20,278.265015,286.260010,276.505005,282.230011,282.230011,502400
2021-05-21,283.709991,287.029999,278.760010,281.779999,281.779999,454600
2021-05-24,286.549988,289.425995,282.369995,286.769989,286.769989,408200
2021-05-25,287.600006,290.399994,285.679993,288.559998,288.559998,389000
2021-05-26,292.730011,299.980011,290.589996,295.160004,295.160004,681200
2021-05-27,287.010010,295.260010,280.470001,291.640015,291.640015,815300
2021-05-28,291.260010,298.309998,291.170013,291.940002,291.940002,369900
2021-06-01,291.739990,293.415009,282.720001,289.739990,289.739990,522900
2021-06-02,287.660004,293.959991,285.220001,287.600006,287.600006,387300
2021-06-03,287.549988,287.910004,270.130005,271.149994,271.149994,1241600
2021-06-04,287.500000,318.769989,285.459991,315.269989,315.269989,3285400
2021-06-07,316.350006,316.970001,308.339996,314.500000,314.500000,899400
2021-06-08,316.000000,322.980011,312.040009,320.339996,320.339996,1243600
2021-06-09,320.980011,332.179993,320.700012,330.299988,330.299988,1199100
2021-06-10,329.630005,335.950012,318.380005,329.519989,329.519989,1032500
2021-06-11,326.350006,335.480011,326.350006,334.100006,334.100006,490700
2021-06-14,334.929993,349.670013,333.549988,346.670013,346.670013,836600
2021-06-15,344.320007,352.839996,340.820007,343.820007,343.820007,863200
2021-06-16,346.760010,362.500000,344.562988,358.899994,358.899994,1241800
2021-06-17,357.109985,375.500000,357.109985,373.109985,373.109985,1350700
2021-06-18,372.989990,385.859985,369.946991,384.019989,384.019989,1440500
2021-06-21,384.559998,387.459991,373.832001,380.000000,380.000000,693400
2021-06-22,377.399994,390.000000,377.399994,380.940002,380.940002,646200
2021-06-23,382.489990,388.839996,378.559998,387.230011,387.230011,709500
2021-06-24,390.000000,393.630005,381.545013,382.630005,382.630005,425200
2021-06-25,382.000000,384.399994,373.470001,379.230011,379.230011,780600
2021-06-28,380.290009,391.929993,380.290009,389.230011,389.230011,499400
2021-06-29,389.350006,391.260010,380.709991,383.709991,383.709991,660700
2021-06-30,364.790009,368.459991,360.000000,361.519989,361.519989,2193700
2021-07-01,360.619995,365.220001,353.880005,357.929993,357.929993,892200
2021-07-02,346.000000,364.690002,345.459991,362.010010,362.010010,1082200
2021-07-06,359.540009,375.195007,357.510010,365.570007,365.570007,818600
2021-07-07,369.989990,370.000000,355.809998,357.750000,357.750000,571300
2021-07-08,349.660004,357.679993,346.559998,351.809998,351.809998,775000
2021-07-09,351.529999,355.679993,344.079987,353.700012,353.700012,537200
2021-07-12,357.510010,362.000000,347.670013,350.690002,350.690002,589800
2021-07-13,351.000000,361.470001,349.700012,351.299988,351.299988,643700
2021-07-14,357.000000,358.489990,338.940002,339.149994,339.149994,580700
2021-07-15,341.630005,345.369995,331.940002,334.519989,334.519989,566500
2021-07-16,338.100006,339.500000,331.285004,332.700012,332.700012,370000
2021-07-19,328.290009,342.679993,324.970001,337.609985,337.609985,582800
2021-07-20,341.839996,346.980011,335.190002,342.339996,342.339996,471100
2021-07-21,342.549988,352.820007,339.000000,351.160004,351.160004,384800
2021-07-22,351.589996,356.989990,351.000000,354.149994,354.149994,372500
2021-07-23,354.010010,364.640015,351.119995,361.540009,361.540009,523900
2021-07-26,363.130005,363.839996,355.059998,358.170013,358.170013,410900
2021-07-27,361.640015,372.000000,352.500000,360.489990,360.489990,782100
2021-07-28,361.239990,365.959991,356.399994,363.790009,363.790009,387000
